id,network,year,net_role,so_part_mc_5,so_part_mc_6,so_part_mc_7,so_part_msi_1,so_part_msi_2,so_part_msi_3,so_part_t,so_part_expec,so_part_ben_1,so_part_ben_2,so_part_ben_3,so_part_ben_4,so_part_ben_6,so_part_ben_8,so_part_chal_72021,so_part_chal_82021,so_part_chal_92021,so_part_chal_102021,so_part_chal_112021,cult_ci_72020,nl_netops_gov_3,cult_sn_52020,diff_for_students,splc_7,so_part_value_1,so_part_value_2,so_part_value_3,so_part_value_8,cont_imp_for_equity_1,cont_imp_for_equity_2,cont_imp_for_equity_6,cont_imp_for_equity_4,cont_imp_for_equity_5,cont_imp_for_equity_7,cont_imp_for_equity_8,is_conf_52021,is_conf_32021,is_conf_42021,is_conf_12021,is_conf_62021,part_team_meetings_1,part_team_meetings_2,part_team_meet_32021,part_team_meetings_4,part_team_meetings_5,part_team_meetings_6,part_team_meetings_7,equity_dis_1,equity_dis_2,equity_dis_3,cult_eq_1,cult_eq_2,cult_eq_3,cult_eq_4,cult_eq_5,cult_eq_6,cult_eq_7,cult_eq_8,splc_1,splc_4,nl_netops_km_1,nl_netops_km_2,nl_netops_km_3,nl_netops_km_4,nl_netops_km_5
cardinal_119,cardinal,2021,4,4,4,4,3,3,1,,3,2,4,4,4,4,4,5,3,3,4,2,1,2,1,3,3,3,4,3,1,4,5,5,4,4,4,3,2,1,1,1,3,1,3,2,2,1,3,3,2,2,2,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3
cardinal_120,cardinal,2021,4,4,4,4,4,4,4,,3,3,4,2,3,4,4,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,1,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
cardinal_124,cardinal,2021,4,5,5,5,3,3,4,,3,4,4,4,4,4,4,1,1,2,2,1,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
cardinal_126,cardinal,2021,4,4,4,4,4,4,4,,3,3,4,3,4,4,4,3,3,2,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4,3,4,3,4,4,4,5,1,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
cardinal_13,cardinal,2021,1,4,3,4,2,3,4,,1,,,,,,,,,,,,2,2,2,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,3,4,4,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,
cardinal_132,cardinal,2021,3,4,4,4,1,1,2,,5,2,2,2,2,1,2,5,4,4,4,3,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,1,4,5,2,2,2,2,,,,,,,,,,,,,,,,,,
cardinal_133,cardinal,2021,4,5,5,5,2,2,1,,4,3,4,3,4,4,4,3,2,3,3,1,1,2,2,2,4,3,4,1,1,3,4,4,4,4,4,4,5,5,5,5,5,1,4,4,5,5,5,5,3,3,3,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4
cardinal_134,cardinal,2021,1,5,5,5,4,4,4,,4,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,,,,,,,,,,,4,4,5,4,4,5,5,4,5,5,,,,,
cardinal_135,cardinal,2021,2,5,5,5,5,5,5,,4,4,4,4,4,4,4,3,9,2,2,1,4,4,4,5,5,5,5,5,5,4,4,5,4,4,4,4,1,2,4,5,5,2,,,,,,,,,,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5
cardinal_136,cardinal,2021,4,5,4,4,3,5,5,,4,3,4,2,2,4,3,4,2,2,2,1,1,4,3,4,4,2,2,1,2,1,3,2,3,3,3,4,9,5,9,4,5,1,4,4,5,4,3,4,5,5,5,3,3,3,4,3,4,4,3,3,4,4,5,3,4,3
cardinal_138,cardinal,2021,4,5,5,5,3,3,5,,3,5,4,3,4,5,5,3,3,2,4,3,3,3,5,5,5,5,5,4,3,3,2,3,3,4,3,3,3,2,1,5,5,1,4,4,4,4,3,3,2,1,2,4,1,4,4,3,2,2,2,4,4,4,4,2,2,2
cardinal_139,cardinal,2021,1,5,5,5,5,5,5,,4,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,
cardinal_14,cardinal,2021,4,5,5,5,5,5,5,,3,5,5,5,5,5,5,1,3,2,1,1,3,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,1,2,3,1,3,2,,,,,,,,,,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4
cardinal_141,cardinal,2021,4,3,2,1,1,1,1,,1,1,2,1,1,1,1,5,9,3,3,5,1,1,2,1,1,2,1,1,1,1,,1,,1,1,1,1,,,1,,1,3,4,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,
cardinal_142,cardinal,2021,1,4,3,4,1,1,1,,5,,,,,,,,,,,,5,5,4,5,3,5,4,5,4,2,3,3,3,2,1,1,3,3,4,4,3,,,,,,,,,,,1,2,2,1,1,1,1,1,3,4,,,,,
cardinal_143,cardinal,2021,4,5,4,5,4,5,5,,3,3,3,4,4,5,5,2,1,1,2,1,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,3,5,5,1,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,4
cardinal_146,cardinal,2021,3,3,3,3,4,3,2,,4,2,2,2,2,1,2,2,1,2,2,2,2,4,3,2,3,3,2,2,1,2,2,2,3,2,2,2,3,4,1,4,4,1,5,4,2,2,2,2,2,1,2,2,3,3,2,3,4,2,2,2,2,2,2,1,1,1
cardinal_147,cardinal,2021,4,3,3,3,1,1,1,,2,3,3,2,3,2,3,3,3,5,5,4,2,3,4,3,3,5,3,3,4,2,1,1,2,1,1,1,3,3,3,3,4,1,5,4,1,1,1,3,1,1,1,3,3,3,3,3,2,2,1,4,3,3,2,2,1,1
cardinal_149,cardinal,2021,1,3,2,3,4,3,2,,3,,,,,,,,,,,,5,5,5,3,3,5,5,5,3,1,3,2,1,2,3,3,4,5,3,3,3,,,,,,,,,,,2,1,2,2,1,3,2,2,5,3,,,,,
cardinal_151,cardinal,2021,4,4,4,4,2,4,4,,4,3,2,3,4,4,4,5,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_152,cardinal,2021,4,5,5,5,4,4,4,,3,4,4,4,4,4,4,3,3,3,3,2,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cardinal_155,cardinal,2021,3,2,4,2,2,2,2,,4,4,2,2,4,4,3,5,3,3,1,2,1,2,3,3,2,3,2,2,1,1,1,2,1,2,2,3,9,4,9,3,5,1,5,4,2,2,2,2,,,,,,,,,,,,,,,,,,
cardinal_156,cardinal,2021,2,3,3,4,3,3,3,,2,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,4,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,,,,,,,,,,4,4,4,2,3,3,2,2,2,2,3,3,3,3,3
cardinal_157,cardinal,2021,4,5,5,5,4,4,4,,1,1,2,1,3,2,3,4,9,3,4,9,3,3,3,5,3,4,4,3,3,4,4,4,3,4,3,3,9,9,9,9,9,1,3,4,3,2,3,4,4,1,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4
cardinal_162,cardinal,2021,2,5,3,3,2,2,2,,1,2,5,3,3,5,3,9,9,5,3,5,1,2,4,3,5,5,5,5,5,2,4,3,2,3,3,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_164,cardinal,2021,4,5,5,5,,5,5,,2,3,4,4,5,5,5,3,3,1,1,1,,5,5,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_165,cardinal,2021,4,4,4,4,4,4,4,,3,3,3,3,3,3,3,1,1,2,2,1,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,3,3,3,1,2,4,4,3,4,4,1,1,1,2,2,1,1,1,1,1,2,2,2,3,3,3,3,3
cardinal_166,cardinal,2021,1,4,4,3,3,2,3,,3,,,,,,,,,,,,5,3,4,4,3,5,5,5,5,4,4,4,3,3,3,3,4,5,4,4,4,,,,,,,,,,,3,3,4,4,4,3,2,3,3,4,,,,,
cardinal_167,cardinal,2021,4,5,4,4,4,4,5,,2,4,3,4,4,5,4,4,4,4,3,2,3,4,5,4,4,5,5,4,3,3,2,2,3,4,4,3,5,4,4,5,4,1,3,4,4,4,4,4,3,2,2,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4
cardinal_168,cardinal,2021,4,5,5,5,4,5,5,,2,2,2,2,2,4,3,2,2,1,1,2,1,4,4,4,5,5,5,5,4,2,4,3,4,3,3,3,4,2,3,3,5,1,4,3,4,3,3,4,2,2,2,5,5,5,4,4,4,3,3,2,3,4,4,4,4,4
cardinal_17,cardinal,2021,3,4,4,3,3,4,4,,3,2,3,3,3,4,3,3,2,2,2,1,2,3,3,3,2,4,4,3,4,1,2,1,2,2,3,2,3,3,2,3,5,1,5,4,4,4,3,3,2,1,1,2,2,2,3,2,3,2,2,2,2,2,3,3,3,2
cardinal_170,cardinal,2021,4,4,4,4,4,4,4,,2,1,2,1,2,3,3,3,1,3,3,1,1,1,1,2,4,4,4,4,3,3,2,2,3,2,3,3,5,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_171,cardinal,2021,3,4,4,4,4,4,4,,3,3,3,3,3,3,3,4,4,4,4,3,3,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,5,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
cardinal_172,cardinal,2021,4,4,4,4,4,4,4,,4,2,2,2,2,2,2,5,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,3,3,3,2,3,2
cardinal_173,cardinal,2021,2,4,4,4,2,3,3,,5,3,2,3,4,4,4,4,3,4,2,2,2,4,4,4,4,4,3,4,3,3,4,4,3,4,3,4,5,4,4,5,9,2,,,,,,,,,,4,4,5,5,4,4,3,4,3,4,4,4,3,4,3
cardinal_177,cardinal,2021,4,4,4,4,5,5,5,,3,3,4,4,4,4,5,4,3,1,1,1,3,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,3,4,4,1,4,4,2,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,,,,,
cardinal_18,cardinal,2021,4,4,5,5,3,4,4,,3,3,4,3,5,5,4,1,3,1,2,2,4,3,3,3,5,5,5,5,5,1,2,1,2,2,2,2,1,2,1,3,2,1,5,4,4,3,4,3,1,1,1,3,2,2,2,2,4,3,1,4,4,2,4,3,3,3
cardinal_180,cardinal,2021,4,4,4,4,3,4,4,,3,3,4,3,3,2,4,4,3,2,2,1,2,2,3,4,4,4,4,4,2,3,3,3,4,4,4,4,4,2,2,3,4,1,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,,,,,
cardinal_184,cardinal,2021,3,5,5,4,4,4,4,,4,4,4,4,4,5,4,3,4,3,3,2,4,4,4,4,4,4,4,4,3,2,4,4,4,4,3,3,3,3,3,3,5,1,5,4,3,3,4,4,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,
cardinal_189,cardinal,2021,1,4,4,5,3,3,3,,3,,,,,,,,,,,,5,4,4,5,4,5,5,5,3,4,4,4,4,4,4,4,5,5,4,5,4,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,
cardinal_19,cardinal,2021,4,5,4,4,4,4,4,,1,5,5,4,4,5,5,1,2,2,2,1,3,4,4,5,5,5,5,5,5,,5,5,4,4,4,5,2,9,2,5,5,2,,,,,,,,,,5,5,4,4,5,5,4,4,5,5,5,5,4,5,5
cardinal_192,cardinal,2021,4,3,3,5,1,3,3,,4,1,3,1,2,2,2,3,2,3,4,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,3,4,1,4,4,4,2,2,4,2,2,2,4,4,4,4,4,4,4,4,2,2,3,3,3,3,3
cardinal_193,cardinal,2021,3,4,4,4,3,2,2,,2,4,3,4,3,3,3,3,3,5,5,2,3,4,4,4,5,4,4,4,4,4,3,3,3,4,3,4,3,3,3,4,4,1,5,2,3,3,2,2,1,1,2,3,4,4,2,3,4,4,2,4,4,4,3,3,3,3
cardinal_196,cardinal,2021,4,5,5,5,4,5,5,,2,3,3,3,2,4,3,2,2,1,2,1,1,5,5,3,4,5,5,5,5,4,3,3,3,4,4,4,4,4,4,4,5,1,5,4,4,4,4,4,4,3,4,5,5,5,4,5,5,4,5,4,4,5,4,2,4,4
cardinal_197,cardinal,2021,2,5,5,5,3,3,3,,3,2,3,2,4,4,3,3,2,9,3,5,2,4,3,4,4,5,5,4,4,3,3,4,4,3,2,4,4,3,4,3,4,2,,,,,,,,,,5,5,5,4,4,5,3,5,4,3,5,3,4,5,4
cardinal_198,cardinal,2021,3,4,4,4,4,3,3,,4,3,4,4,4,4,3,4,5,2,2,2,4,5,4,5,5,5,5,5,5,3,4,4,4,3,4,4,3,4,3,3,4,1,5,4,4,4,3,4,1,1,1,3,3,4,3,3,3,3,3,4,4,3,4,3,3,3
cardinal_200,cardinal,2021,4,4,4,4,4,4,4,,3,3,3,3,4,4,4,4,3,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,2,4,4,1,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
cardinal_204,cardinal,2021,3,5,5,5,5,5,5,,5,5,5,5,5,5,5,1,2,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cardinal_205,cardinal,2021,3,2,3,3,2,1,1,,4,2,2,2,2,2,2,4,4,2,2,2,1,2,2,4,4,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_206,cardinal,2021,4,3,3,3,2,1,1,,1,1,2,1,2,1,2,1,1,1,1,1,1,1,4,2,2,5,2,4,5,3,3,1,3,2,1,1,9,9,3,2,3,1,4,3,1,1,1,1,1,1,1,4,4,4,4,4,1,2,1,1,2,4,5,2,4,1
cardinal_208,cardinal,2021,1,5,4,5,3,5,4,,3,,,,,,,,,,,,5,2,3,4,5,5,5,5,5,3,4,4,5,5,3,4,5,5,5,5,3,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,
cardinal_209,cardinal,2021,4,5,2,2,1,1,1,,3,2,2,2,2,3,2,2,2,2,5,5,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,2,9,9,9,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,4,1,1,2,1,3,1,1,3,1
cardinal_212,cardinal,2021,3,4,4,4,4,4,4,,4,4,3,3,3,3,4,4,2,1,1,1,4,4,4,5,5,4,4,3,2,4,4,4,4,3,4,4,2,1,1,3,3,1,5,4,2,3,2,2,1,1,1,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4
cardinal_214,cardinal,2021,4,5,5,5,4,5,4,,4,2,3,3,4,4,4,2,1,1,1,1,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,5,1,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,3,3,3
cardinal_216,cardinal,2021,3,4,4,4,1,2,1,,4,3,4,4,4,4,3,3,3,1,2,1,1,1,1,2,2,5,3,3,2,2,4,4,3,3,4,4,1,3,2,2,5,1,5,4,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2
cardinal_217,cardinal,2021,4,4,4,4,3,3,3,,4,2,3,2,3,3,3,4,2,1,1,3,1,1,2,2,2,4,3,2,1,1,2,1,2,1,1,1,4,1,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_219,cardinal,2021,3,4,4,4,1,2,3,,4,3,2,2,4,4,4,3,1,2,2,3,4,2,4,4,4,5,5,4,3,4,2,2,4,4,3,3,1,4,3,4,4,1,5,4,5,4,4,4,4,1,4,5,4,3,4,3,3,3,2,2,4,4,5,3,4,3
cardinal_22,cardinal,2021,4,4,4,4,4,4,4,,1,3,3,3,3,3,3,1,1,1,1,1,2,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4
cardinal_220,cardinal,2021,1,4,4,4,2,2,2,,3,,,,,,,,,,,,5,2,4,4,4,4,4,4,2,2,4,3,4,4,4,4,5,3,3,4,5,,,,,,,,,,,3,3,3,3,3,4,3,3,4,4,,,,,
cardinal_221,cardinal,2021,2,5,5,4,3,3,3,,4,3,4,3,3,3,4,4,2,9,1,9,1,4,3,2,3,2,2,2,2,3,2,4,3,5,3,4,5,9,9,5,5,2,,,,,,,,,,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4
cardinal_223,cardinal,2021,3,5,5,5,4,5,5,,3,5,3,4,4,5,5,3,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,9,4,9,4,4,1,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,4,4,4
cardinal_225,cardinal,2021,4,5,5,5,5,5,5,,4,5,5,5,5,5,5,2,3,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,4,5,5,5,4,2,2,2,4,4,4,4,5,5,5,4,5,5,5,4,4,4,4
cardinal_226,cardinal,2021,4,5,5,4,4,3,3,,3,2,5,3,4,5,4,1,2,3,4,1,4,4,5,5,4,5,5,5,4,1,1,1,4,4,4,4,2,1,1,1,4,1,4,4,5,4,2,5,1,1,1,2,2,2,2,2,4,3,2,4,4,4,4,5,3,3
cardinal_227,cardinal,2021,4,4,5,5,3,2,2,,3,2,3,2,3,3,4,2,3,2,2,4,1,3,2,2,3,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_228,cardinal,2021,4,4,3,3,1,2,2,,3,2,1,1,2,3,3,2,1,1,1,5,2,2,3,2,2,5,5,4,5,1,2,1,1,1,1,1,1,1,1,9,9,1,4,4,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1
cardinal_23,cardinal,2021,4,4,5,4,,3,3,,3,3,5,2,2,3,4,5,4,2,2,3,4,3,4,4,5,4,4,4,4,3,4,4,4,4,4,4,1,1,1,2,3,1,2,4,4,2,3,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1
cardinal_230,cardinal,2021,4,4,4,4,4,3,3,,3,3,3,4,4,5,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
cardinal_231,cardinal,2021,4,4,4,5,3,3,3,,2,4,5,4,5,5,5,2,1,3,3,1,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,9,9,4,4,5,1,3,2,4,2,4,4,2,2,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
cardinal_232,cardinal,2021,4,3,3,3,4,4,4,,1,1,1,1,3,1,3,4,2,1,1,1,1,1,4,1,4,3,1,1,1,4,4,4,4,4,4,4,4,9,5,9,5,1,2,4,1,1,1,1,1,1,1,3,3,3,2,4,1,1,1,4,4,4,4,3,3,1
cardinal_233,cardinal,2021,4,4,4,4,4,4,4,,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,4,4,4,3,3,3,3,2,2,2,2,3,2,3,3,2,3,3,1,4,4,4,4,3,3,1,1,1,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4
cardinal_234,cardinal,2021,1,4,2,4,1,1,1,,2,,,,,,,,,,,,4,2,4,2,3,4,4,4,4,1,1,2,2,1,1,1,2,3,2,4,4,,,,,,,,,,,3,4,4,4,2,4,2,1,1,3,,,,,
cardinal_235,cardinal,2021,4,4,4,4,4,4,4,,1,3,5,5,5,5,5,2,4,5,5,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,2,,,,,,,,,,3,4,3,3,4,3,3,3,3,4,3,3,4,4,4
cardinal_24,cardinal,2021,4,5,5,5,4,4,5,,3,4,4,4,4,4,4,2,2,2,2,2,3,4,4,5,5,5,5,5,4,3,3,3,3,4,4,4,4,4,4,5,5,1,4,4,4,4,4,4,3,3,3,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4
cardinal_25,cardinal,2021,4,5,5,5,5,5,5,,3,5,5,5,5,5,5,3,2,2,2,1,1,3,3,5,5,5,5,5,1,4,4,4,4,4,4,4,5,5,5,5,5,1,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,3,3,5,5,5,4,4,4
